name,url,address,phone,time,day,rest,traffic,tage,latitude,longitude
남산케이블카,https://korean.visitseoul.net/attractions/남산케이블카/KOP035015?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP035015,서울 중구 회현동1가 산 1-19 ,02-753-2403,10:00 ~ 23:00,매일 ,,"4호선 명동역 3,4번 출구","야경,남산전망대,서울구경,남산타워,서울구경,서울,서울야경,서울여행,남산타워전망대,가족나들이,남산,서울투어,남산케이블카,N서울타워",37.55640957,126.9841133
도산공원,https://korean.visitseoul.net/attractions/도산공원/KOP001789?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP001789,서울 강남구 신사동 649-9 649-9,02-3423-6285,24시간 개방  (도산 안창호 기념관 매일 10:00~ 17:00),월~일,"도산 안창호 기념관 1월 1일, 명절 연휴 휴무 ","3호선 압구정역 2번, 3번 출구 도보 10분  ","공원, 기념관, 전시,강남, 압구정역,안창호,도산공원, 도산안창호",37.52375085,127.0352667
동대문디자인플라자,https://korean.visitseoul.net/attractions/Dongdaemun-Design-Plaza-kr/KOP024679?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP024679,서울 중구 을지로7가 2-1 ,02-2153-0000,"10:00 ~ 20:00 (공간별 운영시간 상이, 홈페이지 참조)",매일,,"2, 4, 5호선 동대문 역사 문화공원역 1, 10번 출구 ","서울놀거리,서울동대문역사문화공원역,서울DDP,서울데이트코스,서울복합문화공간,서울볼거리,서울명소,동대문디자인플라자,DDP",37.56605397,127.0095548
롯데월드타워,https://korean.visitseoul.net/attractions/롯데월드타워/KOP021278?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP021278,서울 송파구 신천동 29 ,02-3213-5000,"매일 09:00 - 20:30 롯데면세점, 연중 무휴 매일 10:00 - 23:00 롯데마트, 격주 일요일 휴무 매일 10:00 - 20:00 롯데아쿠아리움, 연중 무휴 매일 10:30 - 20:00 에비뉴엘, 월 1회 정기 휴무 매일 10:30 - 22:00 쇼핑몰, 연중 무휴 서울스카이 평일 10:30 - 22:00 (월~목요일, 일요일) 주말 10:30 - 23:00 (금, 토, 공휴일 前일) ※시설별 상이 (홈페이지 참조)",월~일,연중무휴 ,2호선 잠실역 2번 출구 도보 5분 8호선 잠실역 11번 출구 도보 5분," 전망대,서울스카이,잠실,아쿠아리움, 면세점,백화점,롯데월드타워, 롯데월드",37.51419392,127.1040148
명동성당,https://korean.visitseoul.net/attractions/명동성당/KOP004036?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP004036,서울 중구 명동2가 1-1 ,02-774-1784,,,없음,"4호선 명동 5번, 8번 출구 도보 10분 2호선 을지로입구 5번 출구 도보 15~20분 2호선 을지로3가 12번 출구 도보 10분"," 역사, 천주교,명동, 종교, 명동주교좌성당, 고딕,명동대성당, 성당, 가톨릭, 명동성당",37.56373894,126.9866215
방이동 백제고분군,https://korean.visitseoul.net/attractions/방이동-백제고분군/KOP002544?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP002544,서울 송파구 방이동 산47-4,02-2147-2800,09:00 ~ 20:00,,연중무휴,5호선(마천방면) 방이 3번 출구 도보 10분 ," 방이역, 삼국시대고분군, 문화유적, 산책, 백제고분, 서울유적지, 방이동백제고분군, 고분군,방이동고분, 역사, 유적지, 백제",37.50735283,127.1181497
백범광장공원,https://korean.visitseoul.net/attractions/백범광장공원/KOP028656?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP028656,서울 중구 회현동1가 100-5 ,02-3783-5900,,,,1?4호선 서울역 8번 출구 4호선 회현역 4번 출구,"김구,문화유산, 남산공원, 독립운동가,회현역,명동, 백범광장공원",37.55719713,126.9799552
백인제가옥,https://korean.visitseoul.net/attractions/백인제가옥/KOP021128?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP021128,서울 종로구 가회동 93-1 ,"02-724-0232, 0200",09:00~18:00 (입장마감 17:30) ※ 자유관람시 외부 관람만 가능 ,화~일,"월(월요일이 공휴일인 경우 개관), 1월 1일",3호선 안국역 2번 출구," 별당채, 한옥, 북촌, 민속문화재,광화문, 일제강점기, 백인제가옥, 안국역, 문화유산",37.58041536,126.9841261
북촌동양문화박물관,https://korean.visitseoul.net/attractions/북촌동양문화박물관/KOP005667?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP005667,서울 종로구 삼청동 35-91 ,02-723-0190,10:00 - 18:00 (입장마감 17:00),화~일,월요일,3호선 안국역 2번 출구 ,"역사, 안국역,  동양문화, 문화,  광화문,북촌한옥마을,북촌동양문화박물관,전시,  박물관",37.58398243,126.9833806
삼성출판박물관,https://korean.visitseoul.net/attractions/삼성출판박물관/KOP003330?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP003330,서울 종로구 구기동 126-4 ,02-394-6544,10:00~17:00,월~금,"주말, 공휴일","3호선 불광 2번 출구, 버스 7022, 7211 환승 후 구기 터널 앞 하차 3호선 경복궁 3번 출구, 버스 7022, 7212 환승 후 구기 터널 앞 하차"," 박물관, 뮤지엄아카데미, 김종규,  문화유산, 경복궁역,불광역, 역사, 출판박물관,삼성출판박물관, 전시, 구기동",37.60859873,126.9570882
서대문형무소역사관,https://korean.visitseoul.net/attractions/서대문형무소역사관/KOP001831?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP001831,서울 서대문구 현저동 101 ,02-360-8590,여름철(3월~10월): 09:30~18:00 겨울철(11월~2월): 09:30~17:00 입장 마감은 관람 종료 30분 전 ,화~일,-월요일(공휴일인 경우 그 다음날) -1월1일 -설날?추석 당일,3호선 독립문 5번 출구 도보 10분  ," 순국열사, 강우규, 유관순, 독립관, 역사,역사관, 안창호, 공원, 3.1, 역사 유적, 서대문독립공원,독립문역,독립운동가, 독립선언기념탑, 8.15, 서대문형무소",37.57461839,126.9573284
서소문성지역사박물관,https://korean.visitseoul.net/attractions/서소문성지역사박물관/KOP030804?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP030804,서울 중구 의주로2가 16-4 ,02-3147-2401,09:30~17:30,화~일,"월요일, 1월 1일, 설날, 추석 당일",2호선 충정로역 4번 출구,"역사박물관, 지상공원,서소문성지역사박물관, 충정로역,순교성지, 도서관,교회사,전시",37.55963302,126.9693475
서촌한옥마을,https://korean.visitseoul.net/attractions/SeochonHanokVillage/KOPhyd9ee?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOPhyd9ee,서울 종로구 누하동 15 ,,,,,3호선 경복궁역 ,"한옥마을,서촌한옥마을,서촌",37.5801875,126.9685436
서울스튜디오,https://korean.visitseoul.net/attractions/2023007/KOP1vsos3?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP1vsos3,서울 강북구 미아동 777-6 1층 서울스튜디오,02-980-6970,"월-토 10:00~19:30, 일 10:00~17:30",매일,없음,우이신설선 삼양역 2번 출구에서 142m,"오래가게, 미아동, 사진관, 가족사진, 취업사진, 강북구, 여권사진",37.62540869,127.0184983
서울올림픽기념관,https://korean.visitseoul.net/attractions/서울올림픽기념관/KOP005333?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP005333,서울 송파구 방이동 88 올림픽회관 서울올림픽기념관,02-410-1354~5,2023년 재개관 예정,,,5호선(마천방면) 올림픽공원역 3번 출구 동2문에서 3km(도보 약 25분)    8호선 몽촌토성역 1번 출구 도보 4분," 올림픽공원,서울올림픽기념관, 역사, 박물관, 올림픽, 기념관, 평창올림픽, 스포츠,전시, 서울올림픽회관",37.52055538,127.1150513
서울중앙성원,https://korean.visitseoul.net/attractions/이슬람-서울중앙성원/KOP004863?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP004863,서울 용산구 이태원동 15-34 ,02-793-6908,방문가능시간 10:30~17:00,,,"6호선 이태원역 3번 출구 나와 직진, 이태원 소방서 앞에서 우회전, 보광초등학교 삼거리에서 좌회전, 약 100미터 직진  "," 한국이슬람교중앙회,한국이슬람교, 이슬람서울중앙성원, 사원, 성지, 관광지, 우사단길, 이슬람교,이태원역,이슬람서울성원",37.53309869,126.9977869
세빛섬,https://korean.visitseoul.net/attractions/some-sevit-kr/KOP024645?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP024645,서울 서초구 반포동 650 ,1566-3433,11:00 ~ 22:00,월~일,연중무휴,"3,7,9호선 고속터미널역 8-1번 출구 (약 650m, 도보  15분)","전시,강남, 인공섬,한강,이벤트,야경, 세빛섬,야간명소,공연,수상문화공간",37.51225061,126.9965617
숙정문,https://korean.visitseoul.net/attractions/sookjeongmun/KOP023760?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP023760,서울 성북구 성북동 산 25-1 ,02-747-2153,09:00 ~ 16:00하절기(3~10월) / 퇴장시간-18:00 10:00 ~ 15:00동절기(11~2월) / 퇴장시간-17:00,화~일,월요일 (월요일이 공휴일인 경우 화요일 휴관),,"주말나들이,광화문,한양도성,도심속문화재,한양도성순성길,서울산책,서울문화재,경복궁역,북대문,숙정문,서울성곽,안국역,사적제10호,서울사대문",37.59645054,126.9841798
순라길,https://korean.visitseoul.net/attractions/순라길/KOP001932?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP001932,서울시 종로구 권농동 113 일대  원남동 151-6번지에서 인의동 90-5번지,02-120,,,,3호선 안국역 4번 출구 도보 5분 5호선 종로3가역 7번 출구 도보 5분 ," 종로, 역사문학탐방로, 광화문, 안국역,순라길, 문화공간, 골목길",37.57736997,126.9918114
쉼박물관,https://korean.visitseoul.net/attractions/쉼박물관/KOP029578?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP029578,서울 종로구 홍지동 36-20 ,02-396-9277,평일 10:00~18:00 토요일 10:00~18:00 일요일 14:00~19:00,화~일,월요일,3호선 경복궁역 3번 출구 5호선 광화문역 2번 출구 ,"광화문역, 휴식,문화, 경복궁역,예술, 보존,홍지동, 현대예술, 전시실, 기획전,쉼박물관",37.59952883,126.9557393
스마트서울 전시관,https://korean.visitseoul.net/attractions/스마트서울전시관/KOP036048?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP036048,서울 중구 태평로1가 31 ,02-2133-7874,10:00~18:00(입장마감 17:30),월요일 ~ 토요일,"1월 1일, 설날/추석 당일, 매월 마지막 일요일","1호선 시청역 4번 출구, 2호선 을지로입구역 하차 후 서울시청 방면 지하 연결출구","스마트도시,스마트서울,서울갈만한곳,서울전시,서울전시관데이트,서울 전시관",37.56620502,126.9777063
암사동 선사주거지,https://korean.visitseoul.net/attractions/암사동-선사주거지/KOP002174?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP002174,서울 강동구 암사동 155 ,02-3425-6520,AM 09:30 ~ PM 06:00 (입장 마감 PM 05:30) ,화수목금토일,"월요일?신정 휴관 (단, 월요일이 공휴일일 때에는 공휴일 다음의 첫 번째 평일) ",8호선 암사역 4번 출구 도보 10분," 암사동선사주거지,신석기시대,암사역, 역사, 토기,관광지, 선사유적지, 암사동유적,전시, 유적지",37.55906143,127.1306007
아라리오갤러리 서울,https://korean.visitseoul.net/attractions/아라리오갤러리/KOP002388?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP002388,서울특별시 종로구 소격동 76 ,02-541-5701,11:00~18:00,화요일 - 토요일,"일요일, 월요일","3호선 안국역 1번 출구, 5호선 광화문역 2번 출구, 1호선 종각역 2번 출구","갤러리,광화문,서울전시,현대미술,전시,북촌,종로,삼청동,화랑,문화,아라리오갤러리,예술,미술,아라리오",37.58006731,126.9803903
아르코 미술관,https://korean.visitseoul.net/attractions/아르코-미술관/KOP018992?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP018992,서울 종로구 동숭동 1-130 ,02-760-4850,11:00 ~ 19:00 (입장마감 18:30),화~일,"-월요일 -1월 1일 -설날, 추석 당일",4호선 혜화역 2번 출구 도보 3분," 서울전시, 대학로,문화,혜화역,동숭동, 그림, 전시, 한국문화예술진흥원, 아르코미술관, 동대문, 미술관",37.57969968,127.0025052
아름다운 차박물관,https://korean.visitseoul.net/attractions/아름다운-차박물관/KOP004467?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP004467,서울 종로구 인사동 193-1 193-1번지,02-735-6678,11:30 - 20:00,월~일,연중무휴,"3호선 안국역 5번, 6번 출구 도보 20분 5호선 종로3가역 5번 출구 도보 5분 1호선 종각역 3번 출구 도보 10분  "," 광화문, 종로3가역, 문화, 도자기, 종각역, 퓨전차,안국역, 박물관, 차박물관, 전통, 광광지",37.57243711,126.9859065
아쿠아플라넷63,https://korean.visitseoul.net/attractions/아쿠아플라넷63/KOP037891?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP037891,서울 영등포구 여의도동 60 ,02-1833-7001,10:00 ~ 19:30 (입장마감 19:00),매일,,,"서울데이트,서울아이와가볼만한곳,아쿠아,아쿠아플라넷63,아쿠아리움추천,서울아쿠아리움,아쿠아리움,서울놀거리,서울실내장소,63빌딩,서울비올때,서울,실내데이트",37.52002428,126.9400697
아트선재센터,https://korean.visitseoul.net/attractions/아트선재센터/KOP002405?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP002405,서울 종로구 소격동 144-2 144-2,02-733-8949,12:00~19:00,화~일,"-월요일 -1월 1일 -설날, 추석 연휴",3호선 안국 1번 출구로 나와 정독도서관 방향으로 도보 (약 7분 소요)  ," 독립영화, 전시, 박물관, 현대미술,행위예술, 아트선재센터,광화문,안국역,미술관,음악회,관광지, 씨네코드, 단편영화",37.57946107,126.9820301
예술가의 집,https://korean.visitseoul.net/attractions/예술가의-집-구-서울대학교-본관/KOP003629?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP003629,서울 종로구 동숭동 1-130,02-760-4715,"10:00~20:00 (일요일, 법정 공휴일 제외)",월화수목금토,,4호선 혜화 2번 출구 도보 5분  ," 한국문화예술위원회,예술, 예술가의집, 혜화역, 동대문",37.57969968,127.0025052
안동교회 소허당,https://korean.visitseoul.net/attractions/안동교회-소허당/KOP002010?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP002010,서울 종로구 안국동 27 27번지,02-733-3395,* 예배 종류에 따라 예배 시간이 상이하므로 홈페이지 확인 바람,,,3호선 안국 1번 출구 도보 10분  ," 광화문, 북촌교회, 소허당, 안국역, 북촌,안동교회,한옥, 선교사",37.57848803,126.9832566
안중근의사기념관,https://korean.visitseoul.net/attractions/안중근의사기념관/KOP004281?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP004281,서울 중구 남대문로5가 471 471-2번지,02-3789-1016,하절기(3월~10월)  10:00 ~ 18:00 동절기(11월~2월)  10:00 ~ 17:00 * 종료 1시간 전 입장 마감,화~일,-월(월요일이 공휴일인 경우 개관하고 다음 날 휴관) -1월 1일 -설날(당일) -추석(당일),5호선 광화문 8번 출구 세종문화회관 앞 버스 환승 1호선 시청 8번 출구 시청 앞 버스 환승  ," 기념관, 독립운동가, 회현역, 역사, 서울역,명동, 유적지, 전시, 안중근의사기념관, 안중근",37.55338069,126.9803338
예술의 전당 한가람미술관,https://korean.visitseoul.net/attractions/예술의-전당-한가람미술관/KOP004325?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP004325,서울 서초구 서초동 700,02-580-1300,10:00~19:00,화~일,월요일,3호선 남부터미널 5번 출구 출구 도보  5-10분 소요  3호선 남부터미널 5번 출구 셔틀버스/4429번 버스 환승  ,"전시, 예술의전당, 예술의전당전시, 한가람미술관, 예술,남부터미널역,미술관, 혼자전시회, 미술전시회, 문화",37.48043037,127.0134563
용산공원 부분개방부지,https://korean.visitseoul.net/attractions/용산공원-부분개방부지/KOP040795?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP040795,서울 용산구 용산동6가 22-1 ,070-4224-1708,내부시설 9:00 - 17:00 / 외부공간 9:00 - 18:00 (입장마감 17:00),화 - 토,"매주 월, 일 / 1월 1일 / 설날 및 추석 당일",경의중앙선 서빙고역 1번 출구,"용산공원,부분개방부지,용산,산책,미군기지,용산공원부분개방기지,나들이",37.52300977,126.9891846
운현궁 ,https://korean.visitseoul.net/attractions/운현궁/KOP000471?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP000471,서울 종로구 운니동 114-10 ,02-766-9090,09:00 ~ 19:00 (입장마감 18:30) ,화~일,월 (공휴일이 월요일일 경우 정상 개장),3호선 안국역 4번출구 50m 앞    5호선 종로3가역 5번출구(안국역방면) 300m 앞   ,"서울여행,서울볼거리,데이트코스,서울가볼만한곳,종묘,서울고궁투어,서울산책코스,운현궁,서울나들이여행,서울궁궐,서울,한국궁궐",37.57576993,126.98681
종묘,https://korean.visitseoul.net/attractions/종묘/KOP000507?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP000507,서울 종로구 훈정동 1-2 ,02-765-0195,"2월 ~ 5월, 9월 ~ 10월 09:00~18:00 (입장마감 17:00) 6월 ~ 8월 09:00~18:30 (입장마감17:30) 11월 ~ 1월 09:30~17:30 (입장마감16:30) (※ 홈페이지 참조)",,화요일,5호선 종로3가역 8번 출구 도보 5분 <br/> 1호선 종로3가역 11번 출구 도보 5분 <br/> 3호선 종로3가역 8번 출구 도보 5분   ,"종로3가역,종묘제례,유네스코세계문화유산, 광화문,종묘사직, 종묘, 창경궁,창덕궁",37.57098022,126.9951311
용산공예관,https://korean.visitseoul.net/attractions/공예문화의-과거와-현재-도시와-도시를-이어주는-네트워크-플랫폼--용산공예관/KOP033266?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP033266,서울 용산구 한남동 728-10 ,02-2199-6180 ,10:00~19:00,화~일,매주 월요일 및 법정공휴일,6호선 한강진역 3번 출구(에서 도보 약 3분거리),"용산투어, 용산관광지, 전통공예,전시,공예,체험,용산구,용산여행,교육,공방",37.53905172,127.0019871
진관사,https://korean.visitseoul.net/attractions/진관사/KOP006251?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP006251,서울특별시 은평구 진관동 354,02-359-8410,,,,"3호선 구파발 3번출구 나와 버스 7723 환승 3호선 연신내 3번출구 나와 버스 7211, 701환승 6호선 연신내 3번출구 나와 버스 7211, 701환승  "," 고려, 불교, 진관사, 종교, 절,사찰, 구파발역, 템플스테이",37.63836707,126.9463092
윤봉길 의사 기념관,https://korean.visitseoul.net/attractions/윤봉길-의사-기념관/KOP003759?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP003759,서울 서초구 양재동 236 ,02-578-3388,하절기(3월~10월) : 10:00 ~ 18:00 동절기(11월 ~ 3월) : 10:00 ~ 17:00 *종료 30분전 입장마감 ,화~일,"- 월요일 (월요일이 공휴일인 경우 개관, 다음 날 휴관) - 1월 1일 - 설날, 추석 연휴",3호선 양재역 7번 출구 양재 꽃시장 방면 버스 탑승 후 AT센터/꽃시장 앞 하차 도보 5분  ," 윤봉길, 양재역, 양재시민의숲, 강남,독립운동가, 전시관,윤봉길의사기념관",37.46910918,127.0368227
창덕궁,https://korean.visitseoul.net/attractions/창덕궁/KOP000295?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP000295,서울 종로구 와룡동 2-71 ,02-3668-2300,2-5월	09:00 ~ 18:00(입장마감은 17:00) 6-8월	09:00 ~ 18:30(입장마감은 17:30) 9-10월	09:00 ~ 18:00(입장마감은 17:00) 11-1월	09:00 ~ 17:30(입장마감은 16:30),화~일,월,5호선 종로3가역 6번 출구 도보 10분    3호선 안국역 3번 출구 도보 5분   ,"창덕궁,서울,서울명소,한국전통,서울여행코스,한국문화,세계유산,서울한복투어,서울필수여행지,서울가볼만한곳,고궁투어,서울데이트코스,한국여행코스",37.57765074,126.9902304
창의문,https://korean.visitseoul.net/attractions/창의문/KOP003266?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP003266,서울시 종로구 부암동 277-11 ,02-730-9924,,,,3호선 경복궁 3번 출구 도보 30분  ," 자하문, 창의문, 광화문, 성곽, 성곽길, 북악산, 한양도성, 북문,유적지, 경복궁역",37.59259222,126.9665265
청와대,https://korean.visitseoul.net/attractions/청와대/KOP005538?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP005538,서울 종로구 세종로 1 ,02-730-5800,"*코로나 19 확산 방지 및 예방을 위하여 현재는 개인 관람만 가능 (방역조치에 따라 관람인원 제한 가능)  09시 ~ 18시   <단체관람 중단 이전 최대신청인원 정보> *개인관람은 10명 이하, 단체관람은 11명 ~ 200명 이하 신청 가능. *8세 미만의 어린이는 9명 이하로만 신청 가능. *토요일은 10명 이하의 개인 관람에 한함. (단체관람 불가)","월, 수~일",매주 화요일 ,3호선 경복궁 5번 출구 도보 10 ~ 15분,"종로가볼만한곳,청와대위치,사랑채,관저,대통령,청와대대통령,청와대주소,서울종로구,청와대,청와대지도,대통령집무실,청와대관람,대한민국대통령관저,서울여행명소",37.58647569,126.9749368
춘당지,https://korean.visitseoul.net/attractions/춘당지/KOP039629?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP039629,서울 종로구 와룡동 2-1 , 02-762-4868 ,09:00 ~ 20:00 (매표 및 입장시간) 09:00 ~ 21:00 (관람시간),화~일,월요일,4호선 혜화역 4번 출구에서 1175m,"가을단풍,단풍명소,서울놀거리,서울가을데이트명소,산책하기좋은곳,창경궁춘당지,아름다운서울의명소,춘당지",37.57888092,126.9964488
의학박물관 (구 대한의원) ,https://korean.visitseoul.net/attractions/의학박물관/KOP000846?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP000846,서울특별시 종로구 연건동 28-21 ,02-2072-2636,월~금 09:00~18:00 토요일 10:00~15:00 ,월~토,"일요일, 공휴일, 근로자의 날(5월 1일), 법인화 기념일(10월 15일)",4호선 혜화역 3번 출구 도보 10분    ," 서울대학교, 박물관, 의학박물관, 전시,역사,혜화역,서울대학교병원,종로구연건동",37.58020179,127.0019002
코엑스,https://korean.visitseoul.net/attractions/Coex-convention-center-kr/KOP024663?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP024663,서울 강남구 삼성동 159 ,02-6000-0114,매일 10:00 - 18:00 (행사 종료시간 상이),,,2호선 삼성역 6번 출구,"삼성역,아쿠아리움, 수족관, 문화, 공연, 봉은사역, 시티투어버스, 행사,코엑스, 관광, 타이거버스, 전시, 박람회, 코엑스몰, 콘서트, 강남, 쇼핑, 별마당도서관, 컨벤션홀",37.51148311,127.0603371
이태원북스,https://korean.visitseoul.net/attractions/ItaewonBooks/KOPkv7z3y?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOPkv7z3y,서울 용산구 이태원동 533 ,02-793-8249,10:00~22:00,매일,없음,6호선 녹사평역 3번 출구에서 258m," 헌책방, 외서, 녹사평역, 이태원스토어, 이태원, 서울미래유산,오래가게, 책방, 서점",37.53624657,126.9871948
익선동 한옥거리,https://korean.visitseoul.net/attractions/익선동한옥거리/KOP037008?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP037008,서울 종로구 익선동 160-1 ,,,,,"1, 3, 5 호선 종로 3가역 4번 출구에서 142m","전통거리,서울나들이,익선동한옥거리,서울한옥,익선동,서울데이트,서울걷기좋은곳,한옥거리,서울데이트코스,익선동대이트,데이트코스추천,한국전통,한국문화,서울산책",37.57339025,126.9909483
일민미술관,https://korean.visitseoul.net/attractions/일민미술관/KOP002251?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP002251,서울 종로구 세종로 139-8 ,02-2020-2050,11:00~19:00,화~일,월요일,5호선 광화문 5번출구  ,"미술관, 카페이마, 예술, 일민김상만, 일민미술관, 광화문이마, 광화문,광화문역, 일민문화재단, 전시, 신문박물관, 문화",37.56981155,126.9775795
정동길,https://korean.visitseoul.net/attractions/정동길/KOP000889?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP000889,서울 중구 충정로1가 51-11 ,,,,,"1호선 시청역 1번, 11번, 12번 출구 도보 5분    5호선 서대문역 5번, 6번 출구 도보 5분   ","서울골목여행,정동길단풀,정동길야경,서울산책,서울문화거리,덕수궁돌담길,덕수궁길,주말산책,서울걷기좋은곳,서울단풍구경,정동길",37.56802045,126.9692342
한국은행화폐박물관,https://korean.visitseoul.net/attractions/한국은행-본관-화폐금융박물관/KOP002730?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP002730,서울 중구 남대문로3가 110번지 한국은행 건물,02-759-4114,10:00 - 17:00,화~일,"월요일, 설/추석 연휴, 12월 29일 ~ 1월 2일, 근로자의 날, 선거일",4호선 회현 7번 출구 도보 10분 2호선 시청 7번 출구 도보 10분 2호선 을지로입구 7번 출구 도보 10분,"한국은행,명동,아이들과가볼만한곳,화폐박물관,박물관,서울박물관,서울전시회,전시,한국은행화폐박물관,서울어린이체험,세계화페,서울가볼만한곳",37.56165608,126.980097
한상수자수박물관,https://korean.visitseoul.net/attractions/한상수자수박물관/KOP003357?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP003357,서울 성북구 성북동 58-13 11-32번지,0507-1364-1545,화-일 10:00 ~ 18:00 ,화~일,월요일,4호선 한성대입구역 5번 출구에서 719m  ,"전통문화, 체험, 성북동, 한국자수,오래가게, 무형문화재, 전시",37.59365738,127.0009712
잠실대교,https://korean.visitseoul.net/attractions/잠실대교/KOP041095?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP041095,서울 송파구 잠실동 1-1 ,,,,,"2, 8호선 잠실역 7번 출구","다리,잠실,서울,한강,잠실대교,야경",37.51753406,127.0864748
조계사,https://korean.visitseoul.net/attractions/조계사/KOP002586?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP002586,서울 종로구 견지동 45,02-768-8600,"법회, 기도 불공 등 사찰 일정에 따라 이용 시간에 차이가 있음",,,3호선 안국 6번 출구 도보 10분 5호선 광화문 2번 출구 도보 15분 1호선 종각 2번 출구 도보 10분,"절,종교,서울조계사,유형문화재,사찰,서울템플스테이,조계사,종로구조계사,목불좌상,혜능대사",37.57392605,126.9827366
헌인릉,https://korean.visitseoul.net/attractions/헌인릉/KOP005240?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP005240,서울 서초구 내곡동 산 13-1 ,02-445-0347,"2월 ~ 5월, 9월 ~ 10월 09:00 ~ 18:00 6월 ~ 8월 09:00 ~ 18:30 11월 ~ 1월 09:00 ~ 17:30 (매표는 관람종료 1시간 전까지만 가능) ",화~일,월요일,"3호선 양재역 7번 출구 버스 환승(407, 408, 440, 462, 471) 2호선 강남역 3번 출구 버스 환승(407, 408, 440, 462, 471) ※ 하차지점 : 헌인릉 버스정류장"," 관광코스, 문화재청,헌인릉,서울명소, 조선왕릉, 헌릉, 인릉,강남, 유네스코, 세계문화유산, 서울문화재",37.46418856,127.0809951
전쟁기념관,https://korean.visitseoul.net/attractions/전쟁기념관/KOP000859?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP000859,서울 용산구 용산동1가 8 ,02-709-3114,09:30 ~ 18:00  ,화~일,월요일 (월요일이 포함된 연휴에는 연휴 마지막 다음날 휴관),"6호선 삼각지역 11번, 12번 출구 (도보 3분)   <br /> 4호선 삼각지역 1번 출구 (도보 5분)   <br /> 1호선 남영역 1번 출구 (도보 10분)   ","용산전쟁기념관,서울전쟁사박물관,용산어린이박물관,서울아이들과함께,서울박물관추천,6.25전쟁,서울아이들데리고갈만한곳,전쟁기념관,전쟁기념관어린이박물관,서울가볼만한곳추천",37.53496757,126.9772823
절두산순교성지,https://korean.visitseoul.net/attractions/한국천주교순교자박물관/KOP029394?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP029394,서울 마포구 합정동 96-1 ,02-3142-4434,9:30~17:00,화~일,월요일,2?6호선 합정역 7번 출구,"천주교, 전시, 합정역,순례, 순교자박물관, 절두산순교기념관, 한국천주교순교자박물관",37.54458987,126.9118591
